ICB,industry
530,Oil & Gas Producers
570,"Oil Equipment, Services & Distribution"
580,Alternative Energy
1350,Chemicals
1730,Forestry & Paper
1750,Industrial Metals & Mining
1770,Mining
2350,Construction & Materials
2710,Aerospace & Defense
2720,General Industrials
2730,Electronic & Electrical Equipment
2750,Â Industrial Engineering
2770,Industrial Transportation
2790,Support Services
3350,Automobiles & Parts
3539,Beverages
3570,Food Producers
3720,Household Goods & Home Construction
3740,Leisure Goods
3760,Personal Goods
3780,Tobacco
4530,Health Care Equipment & Services
4570,Pharmaceuticals & Biotechnology
5330,Food & Drug Retailers
5370,General Retailers
5550,Media
5750,Travel & Leisure
6530,Fixed Line Telecommunications
6570,Mobile Telecommunications
7530,Electricity
7570,"Gas, Water & Multiutilities"
8350,Banks
8570,Nonlife Insurance
8630,Life Insurance
8670,Real Estate Investment & Services
8770,Real Estate Investment Trusts
8980,Financial Services
8990,Nonequity Investment Instruments
9530,Software & Computer Services
9570,Technology Hardware & Equipment
